Personal,CursadaId,Nota
488571,1703559812,90
493719,1703559812,100
492018,1703559812,Ausente
502608,1703559812,95
489036,1703559812,89
481258,1703559812,88
504937,1703559812,91
509397,1703559812,95
489813,1703559812,82
496400,1703559812,90
496747,1703559812,90
458318,1703559812,93
487661,1703559812,85
506815,1703559812,78
506058,1703559812,95
509629,1703559812,86
504898,1703559812,85
488949,1703559812,95
490872,1703559812,90
494815,1703559812,83
383579,1703559812,86
495612,1703559812,95
488328,1703559812,Ausente
442727,1703559812,93
489279,1703559812,90
457359,1703559812,100
507859,1703559812,100
458253,1703559812,Ausente
396123,1703559812,87
497540,1703559812,96
486072,1703559812,82
502602,1703559812,56
505047,1703559812,75
504896,1703559812,91
508900,1703559812,95
449616,1703559812,95
499839,1703559812,90
490234,1703559812,95
508798,1703559812,90
507768,1703559812,93
495135,1703559812,90
484299,1703559812,79
509536,1703559812,95
568362,1703559812,78
490753,1703559812,Ausente
487624,1703559812,90
496608,1703559812,90
499684,1703559812,94
474236,1703559812,95
472947,1703559812,77
478164,1703559812,87
502045,1703559812,70
474273,1703559812,85
495487,1703559812,71
503707,1703559812,Ausente
466823,1703559812,80
496371,1703559812,85
462098,1703559812,95
478150,1703559812,Ausente
496744,1703559812,81
469118,1703559812,Ausente
473601,1703559812,90
495265,1703559812,73
437891,1703559812,45
506824,1703559812,100
505884,1703559812,94
490712,1703559812,90
504884,1703559812,85
494537,1703559812,85
504724,1703559812,90
493962,1703559812,95
401367,1703559812,85
544522,1703559812,83
114279,1703559812,88
396200,1703559812,95
494853,1703559812,100
474200,1703559812,Ausente
490130,1703559812,69
507782,1703559812,Ausente
478753,1703559812,81
500037,1703559812,83
483452,1703559812,94
461105,1703559812,Ausente
488024,1703559812,84
496696,1703559812,82
500520,1703559812,88
509768,1703559812,95
508977,1703559812,88
507229,1703559812,95
489234,1703559812,94
488450,1703559812,95
507072,1703559812,100
489221,1703559812,77
504929,1703559812,69
110992,1703559812,89
495805,1703559812,89
489971,1703559812,87
478196,1703559812,82
502227,1703559812,91
483520,1703559812,79
478154,1703559812,58
476773,1703559812,95
491308,1703559812,90
494936,1703559812,83
446525,1703559812,77
505163,1703559812,72
501735,1703559812,85
467343,1703559812,100
505060,1703559812,80
495671,1703559812,91
502618,1703559812,95
499056,1703559812,88
465450,1703559812,95
437883,1703559812,67
496795,1703559812,100
491170,1703559812,85
60251,1703559812,85
485065,1703559812,86
487004,1703559812,83
478303,1703559812,92
505155,1703559812,85
431938,1703559812,92
477908,1703559812,95
505063,1703559812,85
503011,1703559812,83
473208,1703559812,90
497111,1703559812,85
494394,1703559812,82
496395,1703559812,85
507885,1703559812,76
488654,1703559812,Ausente
473133,1703559812,61
508035,1703559812,75
111179,1703559812,95
496330,1703559812,95
507163,1703559812,98
508325,1703559812,77
506590,1703559812,76
488118,1703559812,Ausente
495192,1703559812,78
