Personal,CursadaId,Nota
488571,999195342,90
493719,999195342,100
492018,999195342,Ausente
502608,999195342,95
489036,999195342,89
481258,999195342,88
504937,999195342,91
509397,999195342,95
489813,999195342,82
496400,999195342,90
496747,999195342,90
458318,999195342,93
487661,999195342,85
506815,999195342,78
506058,999195342,95
509629,999195342,86
504898,999195342,85
488949,999195342,95
490872,999195342,90
494815,999195342,83
383579,999195342,86
495612,999195342,95
488328,999195342,Ausente
442727,999195342,93
489279,999195342,90
457359,999195342,100
507859,999195342,100
458253,999195342,Ausente
396123,999195342,87
497540,999195342,96
486072,999195342,82
502602,999195342,56
505047,999195342,75
504896,999195342,91
508900,999195342,95
449616,999195342,95
499839,999195342,90
490234,999195342,95
508798,999195342,90
507768,999195342,93
495135,999195342,90
484299,999195342,79
509536,999195342,95
568362,999195342,78
490753,999195342,Ausente
487624,999195342,90
496608,999195342,90
499684,999195342,94
474236,999195342,95
472947,999195342,77
478164,999195342,87
502045,999195342,70
474273,999195342,85
495487,999195342,71
503707,999195342,Ausente
466823,999195342,80
496371,999195342,85
462098,999195342,95
478150,999195342,Ausente
496744,999195342,81
469118,999195342,Ausente
473601,999195342,90
495265,999195342,73
437891,999195342,45
506824,999195342,100
505884,999195342,94
490712,999195342,90
504884,999195342,85
494537,999195342,85
504724,999195342,90
493962,999195342,95
401367,999195342,85
544522,999195342,83
114279,999195342,88
396200,999195342,95
494853,999195342,100
474200,999195342,Ausente
490130,999195342,69
507782,999195342,Ausente
478753,999195342,81
500037,999195342,83
483452,999195342,94
461105,999195342,Ausente
488024,999195342,84
496696,999195342,82
500520,999195342,88
509768,999195342,95
508977,999195342,88
507229,999195342,95
489234,999195342,94
488450,999195342,95
507072,999195342,100
489221,999195342,77
504929,999195342,69
110992,999195342,89
495805,999195342,89
489971,999195342,87
478196,999195342,82
502227,999195342,91
483520,999195342,79
478154,999195342,58
476773,999195342,95
491308,999195342,90
494936,999195342,83
446525,999195342,77
505163,999195342,72
501735,999195342,85
467343,999195342,100
505060,999195342,80
495671,999195342,91
502618,999195342,95
499056,999195342,88
465450,999195342,95
437883,999195342,67
496795,999195342,100
491170,999195342,85
60251,999195342,85
485065,999195342,86
487004,999195342,83
478303,999195342,92
505155,999195342,85
431938,999195342,92
477908,999195342,95
505063,999195342,85
503011,999195342,83
473208,999195342,90
497111,999195342,85
494394,999195342,82
496395,999195342,85
507885,999195342,76
488654,999195342,Ausente
473133,999195342,61
508035,999195342,75
111179,999195342,95
496330,999195342,95
507163,999195342,98
508325,999195342,77
506590,999195342,76
488118,999195342,Ausente
495192,999195342,78
