Personal,CursadaId,Nota
488328,999196232,Ausente
458253,999196232,Ausente
502938,999196232,8
465577,999196232,9
471257,999196232,9
494007,999196232,10
490753,999196232,9
133501,999196232,9
441999,999196232,Ausente
503707,999196232,9
505506,999196232,8
478150,999196232,Ausente
474200,999196232,Ausente
507782,999196232,8
490451,999196232,8
508237,999196232,6
488770,999196232,Ausente
70022,999196232,9
389524,999196232,9
445667,999196232,Ausente
480869,999196232,Ausente
455030,999196232,8
468989,999196232,9
506010,999196232,10
506823,999196232,8
394828,999196232,8
502327,999196232,Ausente
488654,999196232,6
411635,999196232,9
501481,999196232,9
505992,999196232,Ausente
458919,999196232,Ausente
488118,999196232,9
